Artist,Track,Loudness,Acousticness,Tempo,Url_youtube
P!nk,Raise Your Glass,-5.006,0.0048,122.019,https://www.youtube.com/watch?v=XjVNlG5cZyQ
P!nk,Try,-7.079,0.00144,103.998,https://www.youtube.com/watch?v=yTCDVfMz15M
P!nk,So What,-3.078,0.000334,126.019,https://www.youtube.com/watch?v=FJfFZqTlWrQ
P!nk,What About Us,-6.177,0.0281,113.608,https://www.youtube.com/watch?v=ClU3fctbGls
P!nk,Cover Me In Sunshine,-6.859,0.0528,159.7,https://www.youtube.com/watch?v=vGZhMIXH62M
P!nk,TRUSTFALL,-3.889,0.00162,122.032,https://www.youtube.com/watch?v=D2KE2a5qo0g
P!nk,Who Knew,-4.569,0.00462,140.004,https://www.youtube.com/watch?v=NJWIbIe0N90
P!nk,True Love (feat. Lily Allen),-4.76,0.00144,192.205,https://www.youtube.com/watch?v=zsmUOdmm02A
Eminem,Mockingbird,-3.798,0.209,84.039,https://www.youtube.com/watch?v=S9bCLPwzSC0
Eminem,Without Me,-2.827,0.00286,112.238,https://www.youtube.com/watch?v=YVkUvmDQ3HY
Eminem,The Real Slim Shady,-4.244,0.0302,104.504,https://www.youtube.com/watch?v=eJO5HU_7_1w
Eminem,Superman,-3.138,0.0215,130.027,https://www.youtube.com/watch?v=8kYkciD9VjU
Eminem,Till I Collapse,-3.237,0.0622,171.447,https://www.youtube.com/watch?v=3m_QN8P93IA
Eminem,Stan,-4.325,0.0371,80.063,https://www.youtube.com/watch?v=gOMhN-hfMtY
Eminem,Love The Way You Lie,-5.034,0.241,86.989,https://www.youtube.com/watch?v=uelHwf8o7_U
Eminem,Godzilla (feat. Juice WRLD),-5.26,0.145,165.995,https://www.youtube.com/watch?v=r_0JjYUe5jo
Eminem,Sing For The Moment,-4.164,0.0017,163.961,https://www.youtube.com/watch?v=D4hAVemuQXY
Eminem,Not Afraid,-1.19,0.529,114.635,https://www.youtube.com/watch?v=j5-yKhDd64s
Pharrell Williams,"Happy - From ""Despicable Me 2""",-4.662,0.219,160.019,https://www.youtube.com/watch?v=C7dPqrmDWxs
Pharrell Williams,Down In Atlanta,-5.173,0.337,83.154,https://www.youtube.com/watch?v=t_Jhj-gBYCs
Pharrell Williams,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",-3.105,0.0642,101.018,https://www.youtube.com/watch?v=ozv4q2ov3Mk
Pharrell Williams,Cash In Cash Out,-3.751,0.00721,119.971,https://www.youtube.com/watch?v=cKEwnhc8ItY
Pharrell Williams,"Stay With Me (with Justin Timberlake, Halsey & Pharrell)",-6.338,0.276,125.975,https://www.youtube.com/watch?v=eMQuofsOOzo
Pharrell Williams,Hit Different,-6.371,0.199,120.074,https://www.youtube.com/watch?v=qJlMkMtK7-8
Pharrell Williams,Neon Guts (feat. Pharrell Williams),-6.635,0.0541,119.934,https://www.youtube.com/watch?v=nTOj3UQhkLA
Pharrell Williams,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),-7.949,0.0195,142.034,https://www.youtube.com/watch?v=icoOOiSlKK0
Pharrell Williams,Just A Cloud Away,-8.155,0.432,112.555,https://www.youtube.com/watch?v=reYRmpiVSyA
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,-5.913,0.453,102.009,https://www.youtube.com/watch?v=LOtkH5amC7s
Khalid,lovely (with Khalid),-10.109,0.934,115.284,https://www.youtube.com/watch?v=V1Pl8CzNzCw
Khalid,Numb,-4.673,0.121,119.966,https://www.youtube.com/watch?v=mRXKnG2eugU
Khalid,Silence,-3.093,0.256,141.971,https://www.youtube.com/watch?v=Tx1sqYc3qas
Khalid,Young Dumb & Broke,-6.351,0.199,136.948,https://www.youtube.com/watch?v=IPfJnp1guPc
